id,question
7368,What causes Tay-Sachs disease and how does it affect nerve cells?
7368,Can you explain the role of hexosaminidase-A in Tay-Sachs disease?
7368,How is Tay-Sachs disease inherited among family members?
7368,What are the symptoms associated with Tay-Sachs disease as it progresses?
16351,What are the primary causes of Childhood Nephrotic Syndrome in children?
16351,How does minimal change disease relate to Childhood Nephrotic Syndrome?
16351,What types of secondary conditions can lead to Childhood Nephrotic Syndrome?
16351,Can congenital diseases impact the development of Childhood Nephrotic Syndrome in infants?
14930,"What are the main characteristics of asphyxiating thoracic dystrophy, also known as Jeune syndrome?"
14930,How does asphyxiating thoracic dystrophy affect lung growth and breathing in infants?
14930,What are some of the potential complications that can arise in individuals who survive beyond infancy with this condition?
14930,"Are there any less severe forms of asphyxiating thoracic dystrophy, and how do they impact the patient's health and life expectancy?"
2031,What is prenatal care and why is it important during pregnancy?
2031,How often should I expect to have prenatal visits if I am over 35 years old?
2031,What are some health problems that prenatal care can help identify early?
2031,Will my doctor or midwife change my prenatal visit schedule as my due date approaches?
14633,Is neurohypophyseal diabetes insipidus passed down through families?
14633,What type of inheritance pattern is most common for neurohypophyseal diabetes insipidus?
14633,Can neurohypophyseal diabetes insipidus be inherited in an autosomal recessive manner?
14633,What does it mean for neurohypophyseal diabetes insipidus to be inherited autosomally dominant?
14834,What diagnostic tests are available for hypermethioninemia?
14834,Are there specific drug therapies for managing hypermethioninemia?
14834,What role does genetic counseling play in the management of hypermethioninemia?
14834,Is surgery or rehabilitation ever recommended for patients with hypermethioninemia?
15386,What initial steps are taken in the diagnosis of Hashimoto's Disease?
15386,Which blood tests are essential for confirming a diagnosis of Hashimoto's Disease?
15386,How does an ultrasound contribute to the diagnosis of Hashimoto's Disease?
15386,What role does a CT scan play in diagnosing Hashimoto's Disease?
16092,What are some daily steps I can take to prevent complications related to diabetes?
16092,How often should I check my blood glucose levels to manage diabetes effectively?
16092,What types of physical activities are recommended for someone with diabetes?
16092,What specific actions should I take to take care of my feet if I have diabetes?
12459,What resources are available for diagnosing autosomal recessive spastic ataxia of Charlevoix-Saguenay?
12459,Are there specific genetic tests recommended for spastic ataxia Charlevoix-Saguenay type?
12459,What types of therapies are included in the management of ARSACS?
12459,Is there a focus on palliative care for patients with autosomal recessive spastic ataxia of Charlevoix-Saguenay?
9940,What are the characteristics of 5q minus syndrome and how does it affect red blood cells?
